pedido_id,destino,creado_utc,demanda,asignado,completo,primera_llegada,ultima_llegada,ventana_2h_ok,sla_48h_ok
1,"LATI","2025-09-15T08:05:42Z",130,130,true,"2025-09-15T19:34:00Z","2025-09-15T19:34:00Z",true,true
2,"SUAA","2025-09-15T08:53:37Z",84,84,true,"2025-09-16T02:59:00Z","2025-09-16T02:59:00Z",true,true
3,"OPKC","2025-09-15T09:28:42Z",50,50,true,"2025-09-16T01:58:00Z","2025-09-16T01:58:00Z",true,true
4,"VIDP","2025-09-15T10:32:20Z",83,83,true,"2025-09-16T00:34:00Z","2025-09-16T00:34:00Z",true,true
5,"EHAM","2025-09-15T11:00:55Z",165,165,true,"2025-09-15T19:48:00Z","2025-09-15T19:48:00Z",true,true
6,"SVMI","2025-09-15T11:26:36Z",242,242,true,"2025-09-15T22:41:00Z","2025-09-15T22:41:00Z",true,true
7,"LATI","2025-09-15T11:57:49Z",162,162,true,"2025-09-15T19:34:00Z","2025-09-15T19:34:00Z",true,true
8,"OOMS","2025-09-15T13:00:57Z",107,107,true,"2025-09-15T19:56:00Z","2025-09-15T19:56:00Z",true,true
9,"EHAM","2025-09-15T13:32:57Z",249,175,false,"2025-09-15T19:48:00Z","2025-09-15T19:48:00Z",true,true
